input_name,accepted_name,source
Amietia umbraculata,Amietia vertebralis,AmphibiaWeb
Amietia vandijki,Amietia vandijki,AmphibiaWeb
Amietia vertebralis,Amietia vertebralis,AmphibiaWeb
Amietia viridireticulata,Amietia tenuoplicata,AmphibiaWeb
Amietia wittei,Amietia wittei,AmphibiaWeb
Amietophrynus arabica,Sclerophrys arabica,AmphibiaWeb
Amietophrynus asmarae,Sclerophrys asmarae,AmphibiaWeb
Amietophrynus blanfordii,Sclerophrys blanfordii,AmphibiaWeb
Amietophrynus brauni,Sclerophrys brauni,AmphibiaWeb
Amietophrynus camerunensis,Sclerophrys camerunensis,AmphibiaWeb
Amietophrynus channingi,Sclerophrys channingi,AmphibiaWeb
Amietophrynus chudeaui,Sclerophrys chudeaui,AmphibiaWeb
Amietophrynus dodsoni,Sclerophrys dodsoni,AmphibiaWeb
Amietophrynus gracilipes,Sclerophrys gracilipes,AmphibiaWeb
Amietophrynus pantherinus,Sclerophrys pantherina,AmphibiaWeb
Amietophrynus pardalis,Sclerophrys pardalis,AmphibiaWeb
Amietophrynus pentoni,Sclerophrys pentoni,AmphibiaWeb
Amietophrynus pusilla,Sclerophrys pusilla,AmphibiaWeb
Amietophrynus rangeri,Sclerophrys capensis,AmphibiaWeb
Amietophrynus regularis,Sclerophrys regularis,AmphibiaWeb
Amietophrynus steindachneri,Sclerophrys steindachneri,AmphibiaWeb
Amietophrynus superciliaris,Sclerophrys superciliaris,AmphibiaWeb
Amietophrynus tihamica,Sclerophrys tihamica,AmphibiaWeb
Amietophrynus xeros,Sclerophrys xeros,AmphibiaWeb
Amnihyla amnicola,Amnihyla amnicola,AmphibiaWeb
Amnihyla angiana,Amnihyla angiana,AmphibiaWeb
Amnihyla arfakiana,Amnihyla arfakiana,AmphibiaWeb
Amnihyla brongersmai,Amnihyla brongersmai,AmphibiaWeb
Amnihyla fuscula,Amnihyla fuscula,AmphibiaWeb
Amnihyla lakekamu,Amnihyla lakekamu,AmphibiaWeb
Amnihyla leucova,Amnihyla leucova,AmphibiaWeb
Amnihyla longicrus,Amnihyla longicrus,AmphibiaWeb
Amnihyla macki,Amnihyla macki,AmphibiaWeb
Amnihyla megalops,Amnihyla megalops,AmphibiaWeb
Amnihyla micromembrana,Amnihyla micromembrana,AmphibiaWeb
Amnihyla modica,Amnihyla modica,AmphibiaWeb
Amnihyla napaea,Amnihyla napaea,AmphibiaWeb
Amnihyla oenicolen,Amnihyla oenicolen,AmphibiaWeb
Amnihyla rara,Amnihyla rara,AmphibiaWeb
Amnihyla scabra,Amnihyla scabra,AmphibiaWeb
Amnihyla spartacus,Amnihyla spartacus,AmphibiaWeb
Amnihyla spinifera,Amnihyla spinifera,AmphibiaWeb
Amnihyla wollastoni,Amnihyla wollastoni,AmphibiaWeb
Amnirana adiscifera,Amnirana adiscifera,AmphibiaWeb
Amnirana albolabris,Amnirana albolabris,AmphibiaWeb
Amnirana amnicola,Amnirana amnicola,AmphibiaWeb
Amnirana asperrima,Amnirana asperrima,AmphibiaWeb
Amnirana darlingi,Amnirana darlingi,AmphibiaWeb
Amnirana fonensis,Amnirana fonensis,AmphibiaWeb
Amnirana galamensis,Amnirana galamensis,AmphibiaWeb
Amnirana lemairei,Amnirana lemairei,AmphibiaWeb
Amnirana lemairii,Amnirana lemairei,AmphibiaWeb
Amnirana lepus,Amnirana lepus,AmphibiaWeb
Amnirana longipes,Amnirana longipes,AmphibiaWeb
Amnirana nicobariensis,Indosylvirana nicobariensis,AmphibiaWeb
Amnirana occidentalis,Amnirana occidentalis,AmphibiaWeb
Amnirana parkeriana,Amnirana parkeriana,AmphibiaWeb
Amnirana parva,Amnirana parva,AmphibiaWeb
Amolops adicola,Amolops adicola,AmphibiaWeb
Amolops afghanus,Amolops afghanus,AmphibiaWeb
Amolops ailao,Amolops ailao,AmphibiaWeb
Amolops akhaorum,Amolops akhaorum,AmphibiaWeb
Amolops albispinus,Amolops albispinus,AmphibiaWeb
